fishID,trial,tank,group,treatment,SL,activity,shelter,thigmotaxis,novel,emergT
4,2,D,CO2,before,33.9,3260.546154,39.93461538,11.52692308,1.157692308,0.1
5,2,B,CO2,before,34.6,3581.8875,40.34166667,6.820833333,1.395833333,36
6,2,D,CO2,before,31.2,2659.386364,4.731818182,52.44545455,0.027272727,235
7,2,C,CO2,before,34.4,2424.696,36.904,5.412,3.848,59
8,2,C,CO2,before,36.2,5138.738462,6.334615385,38.08846154,1.765384615,0.1
9,2,A,CO2,before,32.4,6158.270833,31.00416667,15.77916667,3.6125,43
10,2,D,CO2,before,35.5,4708.128,28.432,10.428,3.268,42
11,2,B,CO2,before,32.2,4729.204,7.612,31.512,7.848,19
12,2,A,CO2,before,28.4,4409.863636,29.77272727,17.81363636,3.477272727,204
13,2,C,CO2,before,37.9,5523.319231,37.18076923,10.63076923,2.138461538,0.1
14,2,D,CO2,before,34.3,5931.053846,21.81538462,12.27307692,2.080769231,0.1
15,2,B,CO2,before,35.8,,,,,1580
16,2,C,CO2,before,33.2,3450.908,3.212,52.5,0.4,2
17,2,D,CO2,before,29.2,7057.78,24.66,28.424,0.292,36
18,2,A,CO2,before,33.8,2387.065217,45.14347826,13.2173913,0.17826087,105
19,2,C,CO2,before,33.5,,,,,1580
20,2,D,CO2,before,30.6,5780.188462,24.11923077,25.17307692,0.365384615,1
21,2,A,CO2,before,31.3,6772.472,18.46,23.172,1.988,11
22,2,A,CO2,before,32.6,2683.725,37.98333333,1.725,6.833333333,738
23,2,D,CO2,before,32.6,5120.0625,30.56666667,20.14166667,0.895833333,57
24,2,C,CO2,before,31.8,4754.644,22.996,20.936,3.112,1
25,2,A,CO2,before,36,3759.690909,19.86363636,25.49090909,1.527272727,144
26,2,B,CO2,before,30.6,3695.66,28.384,17.2,5.408,0.1
27,2,D,CO2,before,34,2211.148,49.34,3.304,0.452,36
28,2,C,CO2,before,34,916.1,56.4,3.7,0,1480
29,2,C,CO2,before,29.2,4054.611538,32.7,13.80769231,1.657692308,0.1
30,2,B,CO2,before,31.6,6324.175,11.195,37.41,0.725,279
31,2,D,CO2,before,34.1,3661.619231,33.87692308,20.75769231,0.3,1
32,2,A,CO2,before,36.2,2302.036,8.428,9.28,21.896,13
33,2,A,CO2,before,30.8,2525.832,45.032,7.392,3.472,38
34,2,B,CO2,before,31.9,2605.02,43.356,9.66,3.24,8
35,2,B,CO2,before,36,1207.245833,23.07083333,26.89583333,0.691666667,0.1
36,2,C,CO2,before,31.8,2605.02,43.356,9.66,3.24,45
37,2,B,CO2,before,36.7,2196.222727,0.704545455,36,19.82272727,150
38,2,C,control,before,33.7,3264.203846,33.1,5.634615385,3.530769231,1
39,2,A,control,before,30.9,4132.854545,30.45454545,10.45909091,4.8,148
41,2,C,control,before,32.4,1587.6,3.207692308,4.396153846,48.74230769,0.1
42,2,C,control,before,34.2,4171.946154,25.48076923,18.40769231,0.184615385,0.1
43,2,A,control,before,37.4,5317.547619,3.442857143,17.71428571,9.333333333,232
44,2,B,control,before,32.8,5676.279167,12.175,7.875,12.00416667,0.1
45,2,B,control,before,35.7,5230.909091,10.70454545,28.86363636,1.795454545,157
46,2,C,control,before,34.8,3696.5875,33,19.29375,1.1125,504
47,2,B,control,before,30.2,3114.245833,25.14583333,3.495833333,7.591666667,56
48,2,D,control,before,31.7,15.07307692,60.01923077,0,0,1
49,2,D,control,before,33,2115.758333,47.54583333,7.370833333,0.1625,92
50,2,A,control,before,37.5,1413.117391,54.54347826,1.356521739,0.439130435,132
53,2,C,control,before,32,6013.288462,18.10769231,18.38846154,4.892307692,1
54,2,D,control,before,29.4,5254.523077,16.71153846,26.73461538,0.311538462,28
55,2,A,control,before,36.1,5498.713043,37.15652174,9.947826087,0.726086957,123
56,2,D,control,before,33.4,3892.588,34.576,9.716,3.16,9
57,2,A,control,before,33.2,868.5625,54.09166667,3.033333333,0.245833333,40
58,2,B,control,before,28.5,4772.92,17.072,13.116,8.016,0.1
59,2,C,control,before,32.1,4859.138462,26.99615385,13.91923077,3.834615385,0.1
60,2,D,control,before,33.1,3895.404167,4.070833333,16.79166667,21.41666667,14
61,2,A,control,before,31.4,3097.778261,46.4826087,6.117391304,0.339130435,111
62,2,B,control,before,29.9,2106.245833,51.59583333,5.158333333,0.425,51
63,2,D,control,before,28.5,3936.25,22.13461538,18.89615385,7.011538462,2
64,2,A,control,before,28.6,3729.025,35.99166667,11.27916667,2.745833333,44
65,2,B,control,before,36.4,3518.664,13.508,8.88,21.624,11
66,2,A,control,before,34.2,1216.9375,58.6875,1.045833333,0,54
67,2,C,control,before,31.6,2617.0125,44.825,11.73125,0.1125,570
68,2,B,control,before,37.2,3294.636364,19.17272727,2.031818182,18.40454545,142
69,2,C,control,before,34.2,2449.28,20.076,7.768,23.396,43
70,2,D,control,before,31.1,4665.788462,29.36153846,17.90384615,3.019230769,4
71,2,A,control,before,35.5,3709.666667,40.02083333,4.991666667,1.933333333,49
72,2,C,control,before,30.4,1872.144,53.036,1.484,0.424,24
73,2,D,control,before,30.1,4822.034615,34.83076923,15.76923077,1.188461538,0.1
74,2,A,control,before,34.7,1503.154167,59.49166667,0.3,0,84
75,2,D,control,before,33.3,1419.9625,56.01666667,0.5125,0.016666667,101
76,2,A,control,before,28.7,4805.376,30.444,5.516,1.684,0.1
1,3,C,CO2,after,38.2,5458.316667,14.5875,34.48333333,2.404166667,93
2,3,A,CO2,after,32.2,2591.633333,34.37083333,22.77083333,0.1375,33
3,3,A,CO2,after,34.1,7627.024,15.136,18.744,3.812,0.1
4,3,C,CO2,after,33.9,2438.773077,8.403846154,5.111538462,38.56923077,0.1
5,3,C,CO2,after,34.6,4050.088,40.004,4.488,4.62,57
6,3,A,CO2,after,31.2,3613.744,48.428,8.324,0.1,0.1
7,3,D,CO2,after,34.4,2757.464,39.368,6.492,4.408,57
8,3,B,CO2,after,36.2,4811.6,8.358333333,33.29166667,3.658333333,2
9,3,B,CO2,after,32.4,5172.824,33.58,11.484,2.388,0.1
10,3,A,CO2,after,35.5,5464.041667,37.09583333,14.175,0.316666667,64
11,3,C,CO2,after,32.2,,,,,1580
12,3,B,CO2,after,28.4,7143.243478,16.23478261,22.1826087,4.682608696,92
13,3,D,CO2,after,37.9,4185.853846,43.39230769,5.626923077,1.434615385,0.1
14,3,A,CO2,after,34.3,3532.704,28.636,4.448,4.936,0.1
15,3,C,CO2,after,35.8,1157.588,42,16.416,0.124,67
16,3,D,CO2,after,33.2,2751.407692,43.58846154,11.8,0.276923077,8
17,3,A,CO2,after,29.2,5223.768,40.892,11.348,1.36,1
18,3,B,CO2,after,33.8,1924.8875,49.59583333,8.304166667,0.225,72
19,3,D,CO2,after,33.5,,,,,1580
20,3,B,CO2,after,30.6,3313.63913,44.51304348,13.95652174,0,88
21,3,B,CO2,after,31.3,1237.847619,56,1.895238095,0.880952381,208
22,3,C,CO2,after,32.6,0,60,0,0,1154
23,3,A,CO2,after,32.6,5181.658333,26.26666667,16.175,1.2375,49
24,3,D,CO2,after,31.8,3230.641667,39.8125,4.529166667,4.479166667,80
25,3,B,CO2,after,36,4812.770833,10.87916667,22.525,4.3125,35
26,3,A,CO2,after,30.6,3436.9625,27.77916667,11.6125,13.28333333,27
27,3,A,CO2,after,34,637.2416667,59.80416667,0,0,40
28,3,D,CO2,after,34,,,,,1580
29,3,D,CO2,after,29.2,3838.676,42.056,6.924,0.672,69
30,3,C,CO2,after,31.6,4012.853846,10.75384615,35.60769231,2.642307692,1
31,3,A,CO2,after,34.1,588.5913043,56.4,2.230434783,0.265217391,102
32,3,B,CO2,after,36.2,1189.15,38.29166667,21.275,0,42
33,3,B,CO2,after,30.8,4099.071429,25.06190476,14.93333333,7.819047619,205
34,3,C,CO2,after,31.9,2376.596154,44.59230769,6.088461538,2.461538462,0.1
35,3,C,CO2,after,36,1008.4125,52.11666667,5.9625,0.266666667,112
36,3,D,CO2,after,31.8,3740.88,19.94,17.7,14.088,46
